grade	Gender	Age	contest	TotalScore	Awards	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
12	F	17	2	75		C	E	B	E	B	D	B	D	B	C	.	C	.	.	.	.	.	.	.	.	.	.	.	.	.
9	P	0	0	75		C	E	D	B	E	B	D	B	E	B	B	D	C	B	.	E	.	B	B	.	B	.	.	A	.
12	M	16	2	75		C	E	B	E	B	D	D	D	.	C	.	B	E	E	.	B	.	B	B	.	.	.	.	.	.
10	M	15	0	75		C	E	C	B	E	B	D	B	D	A	E	.	D	.	C	.	.	C	.	.	B	.	.	.	.
9	H	14	0	75		C	E	A	B	E	.	D	B	E	B	B	C	D	C	.	D	.	B	.	.	.	.	.	.	.
11	F	16	2	73.5		C	E	D	E	B	D	B	D	.	D	.	B	D	.	.	B	.	.	.	.	.	.	.	.	.
12	 	17	2	73.5		C	E	B	E	B	D	B	A	C	C	A	C	.	E	.	.	.	E	C	.	.	E	.	.	.
12	F	17	2	73.5		C	E	B	E	B	D	B	D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
9	 	14	0	73.5		C	E	B	B	E	B	D	B	E	B	.	D	A	C	.	.	C	A	D	.	.	.	.	.	.
9	M	14	0	73.5		C	E	E	.	E	B	D	B	E	B	.	.	A	B	.	D	A	C	.	A	A	.	.	.	.
12	M	17	2	72		C	E	B	E	B	D	B	D	B	D	B	E	D	.	.	.	.	.	.	.	.	.	.	.	.
11	F	16	2	72		C	E	B	E	B	D	B	D	D	B	E	C	B	E	A	A	A	B	A	A	A	A	A	A	A
11	F	16	2	72		C	E	B	E	B	A	C	D	B	C	E	C	A	B	C	C	A	D	B	D	B	A	D	E	C
11	M	0	2	72		C	E	B	E	B	D	B	D	B	C	E	B	B	D	D	.	D	B	.	.	.	.	.	.	.
10	F	15	0	72		C	E	.	B	E	B	D	B	E	B	E	C	E	.	.	C	.	.	.	.	.	.	.	.	.
9	F	14	0	72		C	E	B	B	E	B	A	B	E	B	E	D	.	.	.	.	.	B	.	.	.	.	.	.	.
8	M	0	0	72		C	E	D	B	E	B	D	B	E	D	E	B	D	A	.	C	.	B	.	.	D	.	.	.	.
11	M	17	2	70.5		C	E	B	E	.	D	B	B	.	D	E	.	.	C	.	.	.	.	.	.	.	.	.	.	.
10	 	15	0	70.5		C	E	.	C	.	B	D	B	E	B	.	.	.	.	.	.	D	E	.	.	.	.	.	.	.
10	F	15	0	70.5		C	E	E	B	E	B	D	B	A	B	E	C	E	.	C	.	.	.	.	.	.	.	.	.	.
10	F	15	0	70.5		C	E	B	B	E	A	D	B	E	B	D	.	D	B	.	D	E	A	.	A	D	.	.	.	.
9	M	14	0	70.5		C	E	E	B	E	B	D	B	E	B	E	C	E	.	.	.	.	A	.	.	.	.	.	.	.
11	 	0	2	70.5		C	E	B	E	B	D	B	D	C	B	.	B	D	E	.	A	.	B	A	.	.	C	.	E	.
12	F	17	2	70.5		C	E	B	E	B	D	B	C	B	C	C	B	.	D	A	B	B	D	B	C	B	.	A	.	D
10	F	14	0	70.5		C	E	B	B	E	B	D	B	E	C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
8	M	13	0	70.5		C	E	D	B	E	B	D	B	E	.	B	C	C	.	D	B	.	.	.	.	.	.	.	.	.
9	F	14	0	70.5		C	E	.	B	E	B	D	C	E	.	.	.	D	.	.	.	.	A	.	.	.	.	.	.	.
9	 	0	0	70.5		C	E	D	B	.	B	D	B	.	.	.	C	.	.	.	D	.	A	.	.	.	.	.	.	.
8	P	14	0	69		C	E	B	B	E	B	D	B	E	D	A	C	.	C	B	.	.	B	.	.	.	.	.	.	.
8	F	13	0	69		C	E	C	B	E	B	D	B	E	.	C	.	.	.	.	.	.	A	.	.	.	.	.	.	.
11	F	16	2	69		C	E	B	E	B	D	B	E	.	C	.	C	.	.	.	.	.	A	.	.	.	.	.	.	.
10	 	15	0	69		C	E	B	B	E	B	D	B	E	A	.	.	.	.	.	.	.	A	.	.	.	.	.	.	.
12	 	17	2	69		C	E	B	E	B	D	.	D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	 	16	2	69		C	E	B	E	B	D	.	D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10	F	15	0	69		C	E	B	B	E	B	D	A	A	B	A	.	.	.	.	.	.	.	.	.	.	.	.	.	.
9	F	14	0	69		C	E	B	C	B	B	D	B	E	B	E	D	D	.	.	A	.	A	.	.	.	.	.	.	.
11	F	16	2	67.5		C	E	B	E	B	D	B	C	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	F	16	2	67.5		C	E	B	A	B	D	B	C	.	D	.	.	A	D	.	C	C	.	.	E	C	E	.	.	.
10	M	15	0	67.5		C	E	E	B	E	A	D	B	E	A	E	C	D	.	.	.	E	A	.	.	E	.	.	.	.
8	M	13	0	67.5		C	E	B	.	E	B	D	B	E	B	E	D	A	C	.	C	.	B	.	.	A	.	.	.	.
12	F	0	2	67.5		C	E	.	E	B	D	.	E	.	D	.	B	C	E	.	.	.	.	.	E	C	.	.	.	.
11	M	16	2	67.5		C	E	B	.	B	D	.	E	.	D	.	.	.	.	.	.	.	.	B	.	.	.	.	.	.
9	M	14	0	67.5		C	E	A	B	E	B	D	.	E	B	E	D	E	C	D	.	.	A	.	.	B	.	.	.	.
11	M	16	2	66		C	E	B	E	B	D	B	D	.	D	C	.	B	.	.	.	.	.	D	.	B	B	B	B	B
9	F	14	0	66		C	E	A	A	E	B	D	B	E	A	.	C	.	.	.	A	.	.	.	B	.	.	.	.	.
11	M	0	2	66		C	E	A	E	B	D	B	E	D	A	E	C	C	E	B	A	A	D	A	B	B	D	C	E	D
12	F	17	2	66		C	E	B	B	B	D	D	.	.	.	.	C	.	.	.	.	.	.	B	.	.	.	.	.	.
